query_id,doc_id
6791,7660585
8701,7990420
10264,7791854
35996,2413564
36214,8323662
36473,85363
36703,7996780
36965,7314116
37685,7609925
37952,7403874
38608,3089779
39360,4913261
39908,7929627
43649,7648216
50498,172406
50833,3977875
51090,7395888
78076,7242981
80712,7771198
81945,8003442
84106,2300107
86701,6066667
94798,7067179
118448,2000773
127876,2962941
128772,7403593
129565,7323244
133977,2273402
156566,6064681
156688,5127455
156723,6083002
165116,7041205
165335,7173765
165480,135373
167371,304877
169305,361238
174249,901682
193581,7407451
193742,7365970
193866,6804467
193968,7807600
194531,6044927
194750,6613662
194870,7701062
195199,8009380
195440,2173778
195582,7353730
195693,5468699
196111,7368721
196232,5292787
196250,8001619
196453,7359988
196596,7393590
196720,8669413
196949,1121638
196963,7904864
197024,7296936
197542,7987271
197945,5200465
197964,4517115
198581,7191674
198807,7341207
199177,7298308
199572,5773286
199776,5984724
199837,7999095
200042,3649773
200296,7983822
201154,7368317
201366,7364246
201376,7068068
202006,7727452
202073,5999333
202081,7741853
202797,3404367
202954,7307671
203039,4892011
203274,7953939
203317,7579485
203390,1592284
203458,5335560
203646,7373078
203688,2647270
205107,3263204
205251,8004132
205741,4292521
206117,7072160
206549,1454158
206806,5185797
206819,8000384
207251,7342507
207595,6917130
208145,8351302
208198,2788916
208265,3372640
208339,7334480
208411,7610503
208494,5077228
208610,7644143
208822,7674638
209651,6769496
209730,688694
209764,2278040
210442,8337745
210690,7317776
211468,7057462
211621,5549846
211691,7070648
212195,7370138
212236,7355638
212251,1871032
212303,8200145
212435,6267449
212477,7516555
212634,2272771
212796,6935968
212977,7726166
214040,3414309
215603,7322225
217246,269952
218000,7303793
220087,3144467
220761,5414141
221664,7544960
222158,7887937
222954,5556597
223165,2021370
223468,7339073
224314,8245338
224548,2572073
224626,6396584
225499,8172549
225752,6050705
226132,3061129
226335,555434
226461,1494577
226509,7438868
227317,8108062
227591,1824260
227968,1790326
228474,4049279
228738,8826787
229325,7329577
230179,6003357
230725,7737541
230891,7696487
231109,8820262
231292,7329657
231298,7671964
231482,7503785
231717,6663510
231877,7680302
232703,7359238
233904,7653164
234114,7728987
234165,3771159
234388,7933098
234644,7400415
234651,6868987
234821,3015638
235027,7357193
235089,7314292
235534,7354200
235832,7526125
236427,7849645
236580,2433627
236582,1542131
236708,6450108
236801,4046677
236949,7373463
237370,6168708
237373,3816028
237561,3465982
237936,1237858
238886,5690856
239189,3947979
239511,1518118
239516,1379766
239648,161048
239830,4328092
240584,5569671
241246,6347360
242019,2676414
242061,863144
242103,8268234
242107,92150
242219,2022494
242863,2037371
243139,7447560
243416,733958
243712,8502397
243761,904464
244011,704643
244092,2468894
244821,3453822
244902,4898229
244929,7702808
245120,7553653
245416,4202319
245921,5770375
246626,7297318
247194,3495941
248385,8281622
249118,5838943
249176,5808157
249618,384314
249792,5746025
249821,7989670
250228,5515239
250367,4207450
250636,5682662
251172,3226587
251445,2113988
252295,1785021
252632,722100
253965,1225604
253966,5297913
254652,1790640
255027,4784957
255469,7136414
255633,6367645
256052,1591525
256192,3817361
256783,3789859
257018,5835102
257335,465152
257772,6699790
257885,8480853
258337,7727433
258485,6926683
259239,6423214
259417,8315930
259763,2231488
259781,7984189
260172,1673509
260762,8312211
260853,8433804
261098,7448800
261521,5536027
261650,5161889
261652,8551482
261683,1888140
272047,5682982
281002,6793860
283154,3514134
294518,8126972
295406,7369547
296441,6921981
297019,8434862
298113,1576022
298550,3793195
298565,1612084
300246,7494883
302878,5295099
303045,7484421
306806,374477
307008,1080507
313438,7359303
344955,1822669
357519,7795703
357664,4514028
382119,738740
388950,7611097
391481,793588
400696,7662946
425688,2268194
427323,6759423
427532,2279975
427730,3990841
431602,386001
455793,4022408
455853,2070119
455862,7215799
456016,5755218
456305,6818476
456443,3035203
456551,1111357
456734,5939444
457622,5926141
457714,6053753
457809,7702669
457842,8032782
458064,7824939
458110,8192474
458235,2080414
458771,7576344
458774,1009432
458885,48849
459280,2357431
459291,7630757
459481,1887386
459948,587808
460162,6546678
460403,6938716
461078,7259135
461281,7624296
461491,5925093
461601,2029077
462301,2517048
462765,7430864
462979,7660167
463230,7677230
463443,4655254
463635,7757261
464440,6050461
464484,6569666
466162,7616897
466202,7429789
466252,7342945
466335,7528637
466640,8533531
466738,1454086
466774,699287
467274,5019434
467597,8602526
467612,7552919
468762,2990928
468907,3678301
469535,7466849
469819,2742682
469873,1465983
470001,3656269
470385,7593320
470459,7692482
470611,7435551
470982,3874453
471007,7612979
471197,7672829
471705,7425698
472024,7650812
472359,1929400
472448,7556883
473319,7219315
473361,1466853
473394,7692143
473492,3737171
473886,7786669
473935,7676222
474234,7590169
474419,3718714
474659,7415337
474873,3677076
475402,6893681
476483,2108156
476724,8731038
476807,7459674
476947,2396177
476977,3694925
477100,7423257
477286,7602332
477309,7517895
477380,4794099
477639,6549777
477648,6052029
478054,7606657
478063,7703656
478220,7982601
478295,1744119
478359,3319805
478691,2131393
478827,2004274
478981,7619129
479284,934530
479379,543240
479525,3661320
479570,2970507
480064,5306238
480504,8325074
480536,1884460
480932,2885623
481297,7560260
481387,7561509
481961,7853511
482496,5410501
482808,3085450
483028,3159424
483178,1424970
483241,6188640
483795,8694682
484551,7487613
485287,7446346
485558,185860
486274,7672367
486370,7550411
486512,8140271
486623,174761
487279,718085
487569,5973318
488198,7467933
488345,1072603
488416,1339013
488676,7462296
488711,8117361
488825,7602188
489374,7472221
489513,697945
489931,7694205
490505,7509756
490802,7638467
490883,7120574
490903,7632334
491585,5034863
492681,5389481
492853,7404677
493508,7512329
493543,1319783
494086,7269889
494346,7681684
494730,5414537
495018,7650538
495082,1551805
495483,2992103
495680,7434447
496175,7536291
496244,555262
496276,5748847
496717,7738507
497107,4619707
497132,7465243
497470,5314872
497536,7608823
497596,5380308
497757,7113096
498398,1470262
498478,2577979
499068,390276
499126,7679351
499413,7712612
499568,5283294
499818,5931291
499904,249998
503390,6057028
503401,8453086
503580,7706677
503607,7707295
503674,7484927
503833,7693127
504044,7670237
504306,2383817
504335,5207974
505107,7486505
505152,7572866
505171,7515981
505541,7523430
505810,3777191
506025,1454398
506438,7953862
506579,7577227
506985,312673
507087,4152441
507381,7454711
507434,3136485
507901,8233396
507934,686578
508104,354601
508316,6396584
509111,7042486
509114,362879
509730,7529541
510018,2142667
510152,813451
510158,7206779
510229,7569535
510444,7535613
510858,7515899
510867,7434552
510893,7716787
511101,1109429
511330,4984048
511367,1117578
511417,7640001
511837,3359859
511861,1915307
